0,1,Eslam,9000,7
1,2,Ahmed,8500,3
2,3,Mohamed,7500,10
3,4,Omar,9200,12
4,5,Ali,8000,5
0,6,Youssef,9500,14
1,7,Khaled,8900,8
2,8,Mostafa,8700,11
3,9,Hassan,9100,2
4,10,Hosni,9300,6
0,11,Fady,8200,9
1,12,Sherif,8600,13
2,13,Tarek,8800,4
3,14,Bassel,8400,0
4,15,Said,9400,15
0,16,Maher,7800,1
1,17,Samir,8100,7
2,18,Hany,8900,5
3,19,Ramy,8500,10
4,20,Wael,7700,3
0,21,Maged,8800,2
1,22,Fahmy,8000,12
2,23,Saad,9300,14
3,24,Ziad,8600,11
4,25,Nabil,9200,6
0,26,Fouad,9500,4
1,27,Salem,9100,8
2,28,Hatem,7400,9
3,29,Maher,7300,15
4,30,Hamza,9600,0
